"num,position,name"
"506,각본,리 드라이스데일 (Lee Drysdale)"
"507,각본,리처드 챔프먼 (Richard Chapman)"
"508,각본,루이스 마리아 델가도 (Luis Maria Delgado)"
"509,각본,레오 디아트 (Leo Tichat)"
"510,각본,랜들 맥코믹 (Randall McCormick)"
"511,각본,릭 팍스 (Rick Parks)"
"512,각본,리사 데이비도비츠 (Lisa Davidowitz)"
"513,각본,로버트 로이 풀 (Robert Roy Pool)"
"514,각본,라일 고치 (Lyle Gorch)"
"515,각본,로데릭 테일러 (Roderick Taylor)"
"516,각본,라파엘 이글레시아스 (Rafael Yglesias)"
"517,각본,루이스 콜 (Lewis Cole)"
"518,각본,랜디 호우즈 (Randy Howze)"
"519,각본,루 홀츠 주니어 (Lou Holtz Jr.)"
"520,각본,로버트 쿤 (Robert Kuhn)"
"521,각본,라자로 고메즈 카릴즈 (Lazaro Gomez Carriles)"
"522,각본,로버트 넬슨 야곱 (Robert Nelson Jacobs)"
"523,각본,랜드 라비치 (Rand Ravich)"
"524,각본,래리 도일 (Larry Doyle)"
"525,각본,라파엘 바라 (Rafael Vara)"
"526,각본,로버트 콜렉터 (Robert Collector)"
"527,각본,레너드 매스 (Leonard Maas)"
"528,각본,로버트 하더스 (Robert Harders)"
"529,각본,리처드 로드스타인 (Richard Rothstein)"
"530,각본,로버트 퍼니발 (Robert Furnival)"
"531,각본,랍 모튼 (Rob Morton)"
"532,각본,로버트 립시 (Robert Lipsy)"
"533,각본,라일 케슬러 (Lyle Kessler)"
"534,각본,루이자 로즈 (Louisa Rose)"
"535,각본,리처드 아우튼 (Richard Outten)"
"536,각본,론 오스본 (Ron Osborn)"
"537,각본,로버트 루델슨 (Robert Rudelson)"
"538,각본,루이스 콜릭 (Lewis Colick)"
"539,각본,리처드 라그러웨네스 (Richard Lagrawenese)"
"540,각본,레스 찰스 (Les Charles)"
"541,각본,론 베이스 (Ron Base)"
"542,각본,로리안 레겟 (Laurian Leggett)"
"543,각본,루디 워리처 (Rudy Wurlitzer)"
"544,각본,린 사이퍼 (Lynn Siefert)"
"545,각본,로버트 킹 (Robert King)"
"546,각본,라마 로리 스터그너 (Rama Laurie Stagner)"
"547,각본,로이 모리타 (Roy Morita)"
"548,각본,로이 프럼케스 (Roy Frumkes)"
"549,각본,루이 가르델 (Louis Gardel)"
"550,각본,리처드 핵 (Richard Hack)"
"551,각본,론 코웬 (Ron Cowen)"
"552,각본,레이몬드 하비 (Raymond Harvey)"
"553,각본,래리 알렉산더 (Larry Alexander)"
"554,각본,론 허친슨 (Ron Hutchinson)"
"555,각본,래리 클레몬스 (Larry Cleamons)"
"556,각본,로버트 벤틀리 (Robert Bentley)"
"557,각본,리처드 웨슬리 (Richard Wesley)"
"558,각본,릭 마르쿠스 (Rick Marcus)"
"559,각본,레온 그리피스 (Leon Griffiths)"
"560,각본,리처드 소콜로브 (Richard Sokolove)"
"561,각본,로버트 클레인 (Robert Klane)"
"562,각본,뤼기 마그니 (Luigi Magni)"
"563,각본,로버트 하워드-캐링톤 (Robert Howard-Carrington)"
"564,각본,레너드 마스 주니어 (Leonard Maas Jr.)"
"565,각본,랜들 M. 바더 (Randall M. Badat)"
"566,각본,루스 그레이엄 (Ruth Graham)"
"567,각본,로렌 커리어 (Lauren Currier)"
"568,각본,롭 커크너 (Rob Kerchner)"
"569,각본,로버트 엔젤스 (Robert Engels)"
"570,각본,린다 래 파빌라 (Linda Rae Favila)"
"571,각본,랜들 프레익스 (Randall Frakes)"
"572,각본,리처드 돈 (Richard Donn)"
"573,각본,래리 민츠 (Larry Mintz)"
"574,각본,"
"575,각본,리치 에스티스 (Rich Eustis)"
"576,각본,로버트 L. 리처즈 (Robert L. Richards)"
"577,각본,레어드 코닉 (Laird Koenig)"
"578,각본,로버트 P. 킹 (Robert P. King)"
"579,각본,론 화이트 (Ron Whyte)"
"580,각본,론 레일리 (Ron Raley)"
"581,각본,루이스 골스톤 (Lewis Golstone)"
"582,각본,로버트 스티철 (Robert Stitzel)"
"583,각본,루시오 바티스트라다 (Lucio Battistrada)"
"584,각본,로버트 빈센트 오닐 (Robert Vincent O'Neill)"
"585,각본,레트 탑햄 (Rhet Topham)"
"586,각본,리처드 크라머 (Richard Kramer)"
"587,각본,릭 내킨 (Rick Natkin)"
